bigg id	Name	shorthand	carbon number	configuration	saturation	Formula	InChI	InChIKey	SMILES	ChEBI
fa14_0_12me	12-methyl tetradecanoic acid	FA(14:0(12Me))	anteiso branched	odd	saturated	C15H30O2	InChI=1S/C15H30O2/c1-3-14(2)12-10-8-6-4-5-7-9-11-13-15(16)17/h14H,3-13H2,1-2H3,(H,16,17)	XKLJLHAPJBUBNL-UHFFFAOYSA-N	CCC(C)CCCCCCCCCCC(O)=O	CHEBI:39251
fa16_0_14me	14-methyl palmitic acid	FA(16:0(14Me))	anteiso branched	odd	saturated	C17H34O2	InChI=1/C17H34O2/c1-3-16(2)14-12-10-8-6-4-5-7-9-11-13-15-17(18)19/h16H,3-15H2,1-2H3,(H,18,19)	FXUKWLSZZHVEJD-UHFFFAOYNA-N	CCC(C)CCCCCCCCCCCCC(O)=O	
fa15_0_9z14me	(9Z)-14-methyl pentadec-9-enoic acid	FA(15:1(9Z)(14Me))	iso branched	even	monounsaturated	C16H30O2	InChI=1S/C16H30O2/c1-15(2)13-11-9-7-5-3-4-6-8-10-12-14-16(17)18/h5,7,15H,3-4,6,8-14H2,1-2H3,(H,17,18)/b7-5-	YRYADTKRRRPFOA-ALCCZGGFSA-N	CC(C)CCC\C=C/CCCCCCCC(O)=O	
fa17_0_16me	16-methyl heptadecanoic acid	FA(17:0(16Me))	iso branched	even	saturated	C18H36O2	InChI=1S/C18H36O2/c1-17(2)15-13-11-9-7-5-3-4-6-8-10-12-14-16-18(19)20/h17H,3-16H2,1-2H3,(H,19,20)	XDOFQFKRPWOURC-UHFFFAOYSA-N	CC(C)CCCCCCCCCCCCCCC(O)=O	CHEBI:84896
fa12_0_11me	11-methyl-dodecanoic acid	FA(12:0(11Me))	iso branched	odd	saturated	C13H26O2	InChI=1S/C13H26O2/c1-12(2)10-8-6-4-3-5-7-9-11-13(14)15/h12H,3-11H2,1-2H3,(H,14,15)	SIOLDWZBFABPJU-UHFFFAOYSA-N	CC(C)CCCCCCCCCC(O)=O	CHEBI:77359
fa13_0_12me	12-methyl tridecanoic acid	FA(13:0(12Me))	iso branched	odd	saturated	C14H28O2	InChI=1S/C14H28O2/c1-13(2)11-9-7-5-3-4-6-8-10-12-14(15)16/h13H,3-12H2,1-2H3,(H,15,16)	YYVJAABUJYRQJO-UHFFFAOYSA-N	CC(C)CCCCCCCCCCC(O)=O	CHEBI:43722
fa14_0_13me	13-methyl tetradecanoic acid	FA(14:0(13Me))	iso branched	odd	saturated	C15H30O2	InChI=1S/C15H30O2/c1-14(2)12-10-8-6-4-3-5-7-9-11-13-15(16)17/h14H,3-13H2,1-2H3,(H,16,17)	ZOCYQVNGROEVLU-UHFFFAOYSA-N	CC(C)CCCCCCCCCCCC(O)=O	CHEBI:39250
fa15_0_14me	14-methyl pentadecanoic acid	FA(15:0(14Me))	iso branched	odd	saturated	C16H32O2	InChI=1S/C16H32O2/c1-15(2)13-11-9-7-5-3-4-6-8-10-12-14-16(17)18/h15H,3-14H2,1-2H3,(H,17,18)	ZONJATNKKGGVSU-UHFFFAOYSA-N	CC(C)CCCCCCCCCCCCC(O)=O	CHEBI:84890
fa16_0_15me	15-methyl palmitic acid	FA(16:0(15Me))	iso branched	odd	saturated	C17H34O2	InChI=1S/C17H34O2/c1-16(2)14-12-10-8-6-4-3-5-7-9-11-13-15-17(18)19/h16H,3-15H2,1-2H3,(H,18,19)	IIUXHTGBZYEGHI-UHFFFAOYSA-N	CC(C)CCCCCCCCCCCCCC(O)=O	CHEBI:70850
fa12_0	Lauric acid	FA(12:0)	straight	even	saturated	C12H24O2	InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)	POULHZVOKOAJMA-UHFFFAOYSA-N	CCCCCCCCCCCC(O)=O	CHEBI:30805
